mjj,truth_label
2857.548611082441,0
4116.0538134711305,0
3415.5729594757686,0
3352.8431961145134,0
2788.510914682257,0
4440.116793605733,0
3466.229376320332,0
3976.8947072269157,0
2302.576164197736,0
2405.6360793968825,0
3455.0991518447304,0
2683.0075187444463,0
4394.731586802525,0
1772.3694990723645,0
3544.8852557937694,0
2865.8855101449813,0
3098.950682490228,0
3230.980926035345,0
3267.8909235887904,0
3630.1569596375834,0
2570.91492156152,0
3771.3781269324413,0
2959.7759680117165,0
2827.5451958204812,0
1946.0364641533574,0
2125.668729905765,0
2858.5137798407695,0
3565.3194643772413,0
2999.160079124478,0
4247.66372529032,0
3227.2633533877956,0
1899.4824271258533,0
3266.258124647955,0
2631.3891882827434,0
2177.143710576892,0
2742.896933952077,0
2534.0096725849153,0
2799.189698034626,0
3753.5437339933333,0
3267.5520026416057,0
3696.899051145763,0
2789.4321515700526,0
3021.6796999912417,0
3135.7679256645742,0
3210.670835465164,0
2977.0983167767267,0
2836.423131152217,0
2319.050934743819,0
2113.9311979531794,0
4582.144608819657,0
4327.017350775925,0
3549.701224319136,0
2119.0319834054562,0
4052.822543927078,0
3246.7808200640357,0
2742.2220035337386,0
3480.8348443647596,0
2078.502327100739,0
3723.1258212660287,0
3259.733299209976,0
2930.494970571985,0
4180.961938665443,0
2741.09702095798,0
2602.9962395331427,0
4000.3861845436877,0
3026.4183509822365,0
3757.3931016527767,0
3127.0675033342927,0
3926.1562255669623,0
1685.3691874576905,0
1990.104944380344,0
2622.0041807843727,0
3727.378311338257,0
4007.8644013350104,0
2354.3221467930694,0
2370.2485346441604,0
2613.926795603305,0
2776.506313555245,0
3000.1536482937363,0
3705.909182846282,0
4086.8889057351057,0
3283.1289636387787,0
3560.0905867004826,0
3299.8566854757387,0
3468.6224571931634,0
2907.399353677996,0
3130.9606935804413,0
3175.027410036022,0
2513.362096297729,0
3789.1986986300835,0
2941.520978394927,0
3246.498208472012,0
3473.3223017368327,0
2770.5277751142253,0
2349.023463029127,0
3418.976147600618,0
3245.0417122378512,0
3670.639436921718,0
3097.7671607133484,0
2907.355477675871,0
4076.865806237486,0
2404.816696639603,0
2588.8572327530046,0
3225.5797312633686,0
3379.729791625217,0
3518.461199430965,0
2933.7815909006167,0
3797.6137217226387,0
2581.2779365645392,0
3894.277952794665,0
3070.674137522696,0
2601.8637564464116,0
3308.7688939668874,0
3942.492674892044,0
2498.0989833794556,0
1848.6583847697652,0
4155.102891631836,0
3506.5075038542445,0
3157.3780142997593,0
3786.6154350733477,0
2973.590619378371,0
4126.707866416724,0
3432.0911363359933,0
4189.709452221727,0
2894.40075483448,0
2751.641569110295,0
2485.664602105767,0
3803.959419430299,0
3506.5095258668084,0
